STATION,STATION_NAME,DATE,HPCP
COOP:176905,PORTLAND JETPORT ME US,20000126 05:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000126 12:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000126 13:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000128 12:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000128 13:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000128 14:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000128 17:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000131 04:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000131 05:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000131 06:00,0.02
COOP:176905,PORTLAND JETPORT ME US,20000131 07:00,0.13
COOP:176905,PORTLAND JETPORT ME US,20000131 08:00,0.10
COOP:176905,PORTLAND JETPORT ME US,20000131 09:00,0.14
COOP:176905,PORTLAND JETPORT ME US,20000131 10:00,0.10
COOP:176905,PORTLAND JETPORT ME US,20000131 11:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000131 12:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000131 13:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000201 01:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000201 21:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000206 03:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000207 15:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000207 16:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000211 07:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000211 08:00,0.05
COOP:176905,PORTLAND JETPORT ME US,20000211 09:00,0.05
COOP:176905,PORTLAND JETPORT ME US,20000211 10:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000211 11:00,0.04
COOP:176905,PORTLAND JETPORT ME US,20000211 12:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000211 13:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000211 14:00,0.02
COOP:176905,PORTLAND JETPORT ME US,20000211 15:00,0.04
COOP:176905,PORTLAND JETPORT ME US,20000211 16:00,0.01
COOP:176905,PORTLAND JETPORT ME US,20000211 17:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000211 18:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000214 00:00,0.00
COOP:176905,PORTLAND JETPORT ME US,20000214 01:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000214 02:00,0.03
COOP:176905,PORTLAND JETPORT ME US,20000214 03:00,0.06
COOP:176905,PORTLAND JETPORT ME US,20000214 04:00,0.11
COOP:176905,PORTLAND JETPORT ME US,20000214 05:00,0.11
